id,question,reponse,categorie
40,Quelles infections alimentaires sont dangereuses pendant la grossesse ?,"Certaines infections d'origine alimentaire peuvent être graves si vous les contractez pendant la grossesse. Mais pas de panique : avec les bons réflexes, vous ne courez aucun risque.
Une bonne hygiène alimentaire pendant la grossesse permet d'éviter les infections. Lavez-vous toujours les mains avant de manger ou de préparer des aliments.
Cette maladie (maladie du chat) peut être transmise du chat à l'homme. La toxoplasmose peut provoquer de graves malformations congénitales chez le fœtus pendant la grossesse.
Lavez vos fruits et légumes avec de l'eau et un peu de vinaigre. Évitez les aliments crus et les produits à base de lait cru, veillez à bien cuire votre viande. Evitez également tout contact avec les chats si vous n'avez pas déjà eu la toxoplasmose.
La listériose est causée par la bactérie listeria. Celle-ci est souvent présente dans la viande, le poisson, les fruits, les légumes et les fromages crus. La maladie se manifeste principalement par un état grippal.
Chez les personnes en bonne santé, cette infection n'est pas dangereuse. Mais les risques pendant la grossesse sont élevés : fausse couche, accouchement prématuré, problèmes respiratoires....
Dans ce cas, consultez votre médecin, il vous prescrira immédiatement un traitement antibiotique.
Il est conseillé d'éviter certains aliments qui peuvent être dangereux pour le développement du fœtus, comme les poissons contenant du mercure, les viandes crues ou mal cuites, les œufs crus ou peu cuits, les fromages à pâte molle et la charcuterie.
Oui, les fruits de mer sont une excellente source de protéines et d'acides gras oméga-3. Cependant, il est important de choisir des fruits de mer à faible teneur en mercure (crevettes, saumon et sardines).
Consultez votre médecin pour savoir si des vitamines prénatales supplémentaires, telles que l'acide folique, le fer et le calcium, sont nécessaires pendant la grossesse.
Il est recommandé d'éviter complètement l'alcool pendant la grossesse, car il peut nuire au développement du fœtus et augmenter le risque de complications à la naissance.",grossesse_prenatale
41,Questions fréquentes sur l'alimentation pendant la grossesse,"Il est conseillé d'éviter certains aliments qui peuvent être dangereux pour le développement du fœtus, comme les poissons contenant du mercure, les viandes crues ou mal cuites, les œufs crus ou peu cuits, les fromages à pâte molle et la charcuterie.
Oui, les fruits de mer sont une excellente source de protéines et d'acides gras oméga-3. Cependant, il est important de choisir des fruits de mer à faible teneur en mercure (crevettes, saumon et sardines).
Consultez votre médecin pour savoir si des vitamines prénatales supplémentaires, telles que l'acide folique, le fer et le calcium, sont nécessaires pendant la grossesse.
Il est recommandé d'éviter complètement l'alcool pendant la grossesse, car il peut nuire au développement du fœtus et augmenter le risque de complications à la naissance.",grossesse_prenatale
42,Pourquoi prendre des vitamines pendant la grossesse ?,"Pendant la grossesse, les besoins en vitamines augmentent pour soutenir à la fois la santé de la mère et le développement du fœtus.
En effet, le fœtus puise ses nutriments dans les réserves de la mère via le cordon ombilical. Si l’alimentation maternelle ne couvre pas tous les besoins, des carences peuvent apparaître, affectant la santé de la mère, mais aussi le développement du bébé dans certains cas.
Voilà pourquoi les vitamines prénatales sont recommandées dès le début de la grossesse pour renforcer les réserves de nutriments essentiels.
Enfin, mentionnons les acides gras et, plus précisément, lesOméga-3(DHA) qui participe au développement du cerveau et des yeux de bébé. Ensuite, l'approvisionnement en DHA de votre enfant sera assuré par l'allaitement.
Pendant la grossesse, les besoins en vitaminesaugmentent de plus de 10 %. [Dd1]Une alimentation variée et équilibrée suffit largement pour couvrir vos besoins si vous êtes en bonne santé, et si votre grossesse ne présente pas de complications.
Manger variéest la clé de l’équilibre : prenez le temps de faire les courses et de cuisiner. Vous vous faites du bien, à vous et à votre bébé
Certains sels minéraux et vitamines sont sensibles à l’eau, à l’air ou à la lumière. Pour profiter au mieux de tous les atouts nutritionnels des aliments, notamment les fruits et légumes, il faut les consommer rapidement et privilégier les cuissons douces comme la vapeur.


La supplémentation enacide folique(vitamine B9) est aujourd’hui quasi systématique, même avant la grossesse. Elle peut être prescrite par votre médecin lors d’uncheck-up préconceptionnel.
Dans certains cas, votre médecin peut vous prescrire des compléments alimentaires à prendre pendant la grossesse : si vousattendez des jumeaux, en cas de grossesses rapprochées, si vous êtes végétarienne ou végétalienne…D’autres vitamines ou des complexes vitaminés peuvent également être recommandés. Discutez-en avec votre médecin et ne prenez pas de compléments alimentaires sans en parler d'abord avec lui.
L’acide folique (vitamine B9) est la vitamine la plus importante à prendre avant de concevoir. Les organismes de santé recommandent de commencer la supplémentation au moins 1 à 3 mois avant la grossesse ou dès le désir d’enfant, car le tube neural du bébé (futur cerveau et moelle épinière) se développe très tôt.
Les vitamines et minéraux soutiennent la santé globale de la femme enceinte en renforçant son système immunitaire et en prévenant les carences nutritionnelles et en réduisant le risque de complications pendant la grossesse.
Source : ONEhttps://www.one.be/public/brochures/brochuredetail/brochure/grossesse-et-allaitement-que-manger/
",grossesse_prenatale
43,Quels sont les vitamines et minéraux indispensables lors de la grossesse ?,"Enfin, mentionnons les acides gras et, plus précisément, lesOméga-3(DHA) qui participe au développement du cerveau et des yeux de bébé. Ensuite, l'approvisionnement en DHA de votre enfant sera assuré par l'allaitement.
Pendant la grossesse, les besoins en vitaminesaugmentent de plus de 10 %. [Dd1]Une alimentation variée et équilibrée suffit largement pour couvrir vos besoins si vous êtes en bonne santé, et si votre grossesse ne présente pas de complications.
Manger variéest la clé de l’équilibre : prenez le temps de faire les courses et de cuisiner. Vous vous faites du bien, à vous et à votre bébé
Certains sels minéraux et vitamines sont sensibles à l’eau, à l’air ou à la lumière. Pour profiter au mieux de tous les atouts nutritionnels des aliments, notamment les fruits et légumes, il faut les consommer rapidement et privilégier les cuissons douces comme la vapeur.


La supplémentation enacide folique(vitamine B9) est aujourd’hui quasi systématique, même avant la grossesse. Elle peut être prescrite par votre médecin lors d’uncheck-up préconceptionnel.
Dans certains cas, votre médecin peut vous prescrire des compléments alimentaires à prendre pendant la grossesse : si vousattendez des jumeaux, en cas de grossesses rapprochées, si vous êtes végétarienne ou végétalienne…D’autres vitamines ou des complexes vitaminés peuvent également être recommandés. Discutez-en avec votre médecin et ne prenez pas de compléments alimentaires sans en parler d'abord avec lui.
L’acide folique (vitamine B9) est la vitamine la plus importante à prendre avant de concevoir. Les organismes de santé recommandent de commencer la supplémentation au moins 1 à 3 mois avant la grossesse ou dès le désir d’enfant, car le tube neural du bébé (futur cerveau et moelle épinière) se développe très tôt.
Les vitamines et minéraux soutiennent la santé globale de la femme enceinte en renforçant son système immunitaire et en prévenant les carences nutritionnelles et en réduisant le risque de complications pendant la grossesse.
Source : ONEhttps://www.one.be/public/brochures/brochuredetail/brochure/grossesse-et-allaitement-que-manger/
",grossesse_prenatale
44,Les nutriments dans mon alimentation,"Pendant la grossesse, les besoins en vitaminesaugmentent de plus de 10 %. [Dd1]Une alimentation variée et équilibrée suffit largement pour couvrir vos besoins si vous êtes en bonne santé, et si votre grossesse ne présente pas de complications.
Manger variéest la clé de l’équilibre : prenez le temps de faire les courses et de cuisiner. Vous vous faites du bien, à vous et à votre bébé
Certains sels minéraux et vitamines sont sensibles à l’eau, à l’air ou à la lumière. Pour profiter au mieux de tous les atouts nutritionnels des aliments, notamment les fruits et légumes, il faut les consommer rapidement et privilégier les cuissons douces comme la vapeur.


La supplémentation enacide folique(vitamine B9) est aujourd’hui quasi systématique, même avant la grossesse. Elle peut être prescrite par votre médecin lors d’uncheck-up préconceptionnel.
Dans certains cas, votre médecin peut vous prescrire des compléments alimentaires à prendre pendant la grossesse : si vousattendez des jumeaux, en cas de grossesses rapprochées, si vous êtes végétarienne ou végétalienne…D’autres vitamines ou des complexes vitaminés peuvent également être recommandés. Discutez-en avec votre médecin et ne prenez pas de compléments alimentaires sans en parler d'abord avec lui.
L’acide folique (vitamine B9) est la vitamine la plus importante à prendre avant de concevoir. Les organismes de santé recommandent de commencer la supplémentation au moins 1 à 3 mois avant la grossesse ou dès le désir d’enfant, car le tube neural du bébé (futur cerveau et moelle épinière) se développe très tôt.
Les vitamines et minéraux soutiennent la santé globale de la femme enceinte en renforçant son système immunitaire et en prévenant les carences nutritionnelles et en réduisant le risque de complications pendant la grossesse.
Source : ONEhttps://www.one.be/public/brochures/brochuredetail/brochure/grossesse-et-allaitement-que-manger/
",grossesse_prenatale
45,Les compléments alimentaires de grossesse,"La supplémentation enacide folique(vitamine B9) est aujourd’hui quasi systématique, même avant la grossesse. Elle peut être prescrite par votre médecin lors d’uncheck-up préconceptionnel.
Dans certains cas, votre médecin peut vous prescrire des compléments alimentaires à prendre pendant la grossesse : si vousattendez des jumeaux, en cas de grossesses rapprochées, si vous êtes végétarienne ou végétalienne…D’autres vitamines ou des complexes vitaminés peuvent également être recommandés. Discutez-en avec votre médecin et ne prenez pas de compléments alimentaires sans en parler d'abord avec lui.
L’acide folique (vitamine B9) est la vitamine la plus importante à prendre avant de concevoir. Les organismes de santé recommandent de commencer la supplémentation au moins 1 à 3 mois avant la grossesse ou dès le désir d’enfant, car le tube neural du bébé (futur cerveau et moelle épinière) se développe très tôt.
Les vitamines et minéraux soutiennent la santé globale de la femme enceinte en renforçant son système immunitaire et en prévenant les carences nutritionnelles et en réduisant le risque de complications pendant la grossesse.
Source : ONEhttps://www.one.be/public/brochures/brochuredetail/brochure/grossesse-et-allaitement-que-manger/
",grossesse_prenatale
46,FAQs sur les vitamines de grossesse,"L’acide folique (vitamine B9) est la vitamine la plus importante à prendre avant de concevoir. Les organismes de santé recommandent de commencer la supplémentation au moins 1 à 3 mois avant la grossesse ou dès le désir d’enfant, car le tube neural du bébé (futur cerveau et moelle épinière) se développe très tôt.
Les vitamines et minéraux soutiennent la santé globale de la femme enceinte en renforçant son système immunitaire et en prévenant les carences nutritionnelles et en réduisant le risque de complications pendant la grossesse.
Source : ONEhttps://www.one.be/public/brochures/brochuredetail/brochure/grossesse-et-allaitement-que-manger/
",grossesse_prenatale
47,A quoi sert le fer ?,"Le fercontribue à la formation normale des globules rouges et de l’hémoglobine et aide à apporter l’oxygène indispensable aux cellules de votre corps et de votre bébé. Lescarences en ferentrainent fatigue, anémie, diminution des performances intellectuelles et une plus grande sensibilité aux infections.Lesbesoins en ferdes femmes sont plus importants que ceux des hommes : 19,6 mg/jour contre 9,1 mg/jour. Et ils augmentent encore pendant la grossesse, 20 mg/jour les premiers mois, à 30 mg/jour au troisième trimestre. Or, aujourd’hui, on estime que 23 % des femmes sont carencées en fer. Le recours à une supplémentation est donc courant.
Voilà pourquoi on conseille aux femmes qui ont un désir de grossesse de veiller à en consommer suffisamment avant même de tomber enceinte.
Sachez que lesaliments les plus riches en fersont :
Quant aux épinards, ils ne sont pas la meilleure source de fer, contrairement à la légende : 100 g de feuilles fraiches n’en apportent que 3.4 mg. Une petite précision tout de même ; ces valeurs sont données pour 100 g d'aliments, il est donc intéressant d'imaginer quelle quantité de cet aliment sera consommée. Par exemple, il est aisé de manger 100 g de boudin noir donc 22.8 mg de fer mais, en alimentation courante, on ne va consommer que 10 g de persil (saupoudrée sur une salade), soit ""seulement"" O,7 mg !
Dernière précision, qui a une grande importance, il faut distinguer deux sortes de fer :
Pour faire le plein de fer, il est donc conseillé de miser sur la viande (rouge de préférence) notamment les abats.
Un supplément pourra être prescrit si vous êtes végétarienne ou végétalienne mais aussi si vous attendez des jumeaux ou si vous avez des grossesses rapprochées. N’hésitez pas à en discuter avec votre médecin et, éventuellement, à consulter un nutritionniste.",grossesse_prenatale
48,Dans mon assiette…,"Sachez que lesaliments les plus riches en fersont :
Quant aux épinards, ils ne sont pas la meilleure source de fer, contrairement à la légende : 100 g de feuilles fraiches n’en apportent que 3.4 mg. Une petite précision tout de même ; ces valeurs sont données pour 100 g d'aliments, il est donc intéressant d'imaginer quelle quantité de cet aliment sera consommée. Par exemple, il est aisé de manger 100 g de boudin noir donc 22.8 mg de fer mais, en alimentation courante, on ne va consommer que 10 g de persil (saupoudrée sur une salade), soit ""seulement"" O,7 mg !
Dernière précision, qui a une grande importance, il faut distinguer deux sortes de fer :
Pour faire le plein de fer, il est donc conseillé de miser sur la viande (rouge de préférence) notamment les abats.
Un supplément pourra être prescrit si vous êtes végétarienne ou végétalienne mais aussi si vous attendez des jumeaux ou si vous avez des grossesses rapprochées. N’hésitez pas à en discuter avec votre médecin et, éventuellement, à consulter un nutritionniste.",grossesse_prenatale
49,Nos astuces pratiques,"Un supplément pourra être prescrit si vous êtes végétarienne ou végétalienne mais aussi si vous attendez des jumeaux ou si vous avez des grossesses rapprochées. N’hésitez pas à en discuter avec votre médecin et, éventuellement, à consulter un nutritionniste.",grossesse_prenatale
50,"L'acide folique, bon pour le système nerveux du fœtus","Aussi appelée vitamine B9, l’acide folique est particulièrement important en tout début de grossesse. En raison de l’expansion des tissus maternels (sang, utérus…), les besoins sont augmentés. Ils sont estimés à 0,4 mg/jour chez la femme enceinte, contre 0,3 mg dans la population en général. Il joue un rôle  dans la mise en place du système nerveux du fœtus, et intervient dans le développement et la fabrication des globules rouges.
Aujourd’hui, on recommande de manière quasi systématique une supplémentation en acide folique de 0,4 mg par jour, dès que le projet de bébé est formulé (idéalement, deux mois avant la conception) et pendant tout le premier trimestre de grossesse.D’où l’utilité du check-up préconceptionnel. Mais encore faut-il avoir tout prévu ! Et si vous n'en avez pas eu le temps, pas de panique non plus, ok ? Si vous n’avez pas eu d’acide folique avant ou endébut de grossesse, ne vous inquiétez pas. Sachez qu’une alimentation variée et équilibrée permet de combler tout ou partie de ses besoins quotidiens. Les aliments qui en sont le plus riches sont :
On l'ignore souvent : une femme sur quatre en âge de procréer manque defer. Cette déficience est encore plus difficile à combler lors de la grossesse car les besoins vont jusqu’à doubler : de 16 mg/jour avant la grossesse à 20 voire 30 mg/jour au cours du troisième trimestre. D'où l'importance de s'intéresser à ses apports en fer avant et dès la conception !
Pour quelle raison ? Principal constituant de l’hémoglobine, le fer permet aux globules rouges d’apporter l’oxygène indispensable aux cellules.
Pas de panique : de manière générale, il est facile de manger des aliments riches en fer. Ceux qui en sont le plus riches, à déguster en priorité :
Une astuce pour aider à l’absorption du fer ? Consommer de lavitamine C. Alors cap sur les fruits crus en consommant un fruit cru en dessert, comme un agrume ou un kiwi !
Enfin, si la prise de sang révèle une carence sévère (ou si vous êtes végétarienne, ou si vous attendez des jumeaux…), votre médecin peut vous prescrire un supplément en fer.
""Chéri, ce soir au menu, c'est salade riche en folates! Simple comme un jeu d'enfant, à agrémenter comme bon vous semble, préparez une salade avec des pousse d'épinards, de la mâche, des oeufs mollets, des graines de lin et quelques noix. Bon appétit ! """,grossesse_prenatale
51,"Le fer, pour le transport de l’oxygène","On l'ignore souvent : une femme sur quatre en âge de procréer manque defer. Cette déficience est encore plus difficile à combler lors de la grossesse car les besoins vont jusqu’à doubler : de 16 mg/jour avant la grossesse à 20 voire 30 mg/jour au cours du troisième trimestre. D'où l'importance de s'intéresser à ses apports en fer avant et dès la conception !
Pour quelle raison ? Principal constituant de l’hémoglobine, le fer permet aux globules rouges d’apporter l’oxygène indispensable aux cellules.
Pas de panique : de manière générale, il est facile de manger des aliments riches en fer. Ceux qui en sont le plus riches, à déguster en priorité :
Une astuce pour aider à l’absorption du fer ? Consommer de lavitamine C. Alors cap sur les fruits crus en consommant un fruit cru en dessert, comme un agrume ou un kiwi !
Enfin, si la prise de sang révèle une carence sévère (ou si vous êtes végétarienne, ou si vous attendez des jumeaux…), votre médecin peut vous prescrire un supplément en fer.
""Chéri, ce soir au menu, c'est salade riche en folates! Simple comme un jeu d'enfant, à agrémenter comme bon vous semble, préparez une salade avec des pousse d'épinards, de la mâche, des oeufs mollets, des graines de lin et quelques noix. Bon appétit ! """,grossesse_prenatale
52,Qu’est-ce que le diabète gestationnel ?,"C’est un diabète qui se manifeste uniquement pendant la grossesse et qui disparaît généralement après. Il se caractérise par uneglycémie à jeun élevée(entre 1,3g/l et 2 g/l), l’insuline produite par le pancréas ne suffisant plus à réguler le taux de sucre dans le sang. La grossesse est une période particulièrement à risques car les besoins en insuline sont plus importants.
Certains signes peuvent alerter le médecin : soif intense, envie fréquente d’uriner, fatigue… Le diabète gestationnel peut être détecté entre la 24èmeet la  28èmesemaine, viaune prise de sang. Le test est généralement prescrit lors du sixième mois.
La plupart des femmes enceintes souffrant de diabète donnent naissance à des bébés sans problèmes de santé. Mais, s’il est mal surveillé, le diabète peut entraîner une prise de poids excessive pour le bébé (plus de 4 kg) rendant l’accouchement plus compliqué (risque de césarienne).
Oui : certaines femmes sont plus exposées que d’autres. C’est le cas notamment si vous avez des personnes diabétiques dans la famille, si vous avez un excès de poids, si vous avez déjà eu un diabète gestationnel lors d’une grossesse précédente, si vous avez plus de 35 ans, si vous avez déjà eu un bébé de plus de 4 kg…
Il faut tout d’abord faire des repas réguliers (3 repas par jour + une à deux collations) et équilibrés pour éviter les variations trop brutales de glycémie. Ne sautez pas les repas et évitez de grignoter. Adoptez aussi ces bons réflexes :
Votre médecin vous donnera toutes les informations nécessaires sur le fonctionnement de la glycémie, et vous dirigera vers un diététicien pour vous aider à réaliser vos menus.
L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
53,Existe-t-il des signes annonciateurs ? Comment le détecte-t-on ?,"Certains signes peuvent alerter le médecin : soif intense, envie fréquente d’uriner, fatigue… Le diabète gestationnel peut être détecté entre la 24èmeet la  28èmesemaine, viaune prise de sang. Le test est généralement prescrit lors du sixième mois.
La plupart des femmes enceintes souffrant de diabète donnent naissance à des bébés sans problèmes de santé. Mais, s’il est mal surveillé, le diabète peut entraîner une prise de poids excessive pour le bébé (plus de 4 kg) rendant l’accouchement plus compliqué (risque de césarienne).
Oui : certaines femmes sont plus exposées que d’autres. C’est le cas notamment si vous avez des personnes diabétiques dans la famille, si vous avez un excès de poids, si vous avez déjà eu un diabète gestationnel lors d’une grossesse précédente, si vous avez plus de 35 ans, si vous avez déjà eu un bébé de plus de 4 kg…
Il faut tout d’abord faire des repas réguliers (3 repas par jour + une à deux collations) et équilibrés pour éviter les variations trop brutales de glycémie. Ne sautez pas les repas et évitez de grignoter. Adoptez aussi ces bons réflexes :
Votre médecin vous donnera toutes les informations nécessaires sur le fonctionnement de la glycémie, et vous dirigera vers un diététicien pour vous aider à réaliser vos menus.
L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
54,Quelles sont les conséquences pour le bébé ?,"La plupart des femmes enceintes souffrant de diabète donnent naissance à des bébés sans problèmes de santé. Mais, s’il est mal surveillé, le diabète peut entraîner une prise de poids excessive pour le bébé (plus de 4 kg) rendant l’accouchement plus compliqué (risque de césarienne).
Oui : certaines femmes sont plus exposées que d’autres. C’est le cas notamment si vous avez des personnes diabétiques dans la famille, si vous avez un excès de poids, si vous avez déjà eu un diabète gestationnel lors d’une grossesse précédente, si vous avez plus de 35 ans, si vous avez déjà eu un bébé de plus de 4 kg…
Il faut tout d’abord faire des repas réguliers (3 repas par jour + une à deux collations) et équilibrés pour éviter les variations trop brutales de glycémie. Ne sautez pas les repas et évitez de grignoter. Adoptez aussi ces bons réflexes :
Votre médecin vous donnera toutes les informations nécessaires sur le fonctionnement de la glycémie, et vous dirigera vers un diététicien pour vous aider à réaliser vos menus.
L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
55,Existe-t-il des facteurs de risques ?,"Oui : certaines femmes sont plus exposées que d’autres. C’est le cas notamment si vous avez des personnes diabétiques dans la famille, si vous avez un excès de poids, si vous avez déjà eu un diabète gestationnel lors d’une grossesse précédente, si vous avez plus de 35 ans, si vous avez déjà eu un bébé de plus de 4 kg…
Il faut tout d’abord faire des repas réguliers (3 repas par jour + une à deux collations) et équilibrés pour éviter les variations trop brutales de glycémie. Ne sautez pas les repas et évitez de grignoter. Adoptez aussi ces bons réflexes :
Votre médecin vous donnera toutes les informations nécessaires sur le fonctionnement de la glycémie, et vous dirigera vers un diététicien pour vous aider à réaliser vos menus.
L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
56,Faut-il modifier son alimentation ?,"Il faut tout d’abord faire des repas réguliers (3 repas par jour + une à deux collations) et équilibrés pour éviter les variations trop brutales de glycémie. Ne sautez pas les repas et évitez de grignoter. Adoptez aussi ces bons réflexes :
Votre médecin vous donnera toutes les informations nécessaires sur le fonctionnement de la glycémie, et vous dirigera vers un diététicien pour vous aider à réaliser vos menus.
L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
57,Quelles autres précautions adopter ?,"L’hygiène de vie est également importante. Pensez à vous aérer, à faire du sport (natation par exemple) et à marcher au moins 30 minutes par jour. Le tout sans forcer bien évidemment ! Une demi-heure d’activité douce par jour est importante pour aider à réguler votre glycémie.
Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
58,"Et après l'accouchement, mon bébé et moi-même serons-nous diabétiques ?","Rassurez-vous, votre bébé ne naît pas diabétique. Quant à vous, c'est pareil : vous ne serez pas atteinte de diabète après la naissance du bébé. Dans 98% des cas, le diabète disparaît après l’accouchement, néanmoins le risque de développer un diabète définitif à long terme existe. Réduire ce risque, c’est possible, en respectant une alimentation équilibrée et en ayant une activité physique régulière.Si vous êtes à nouveau enceinte, le risque de développer un diabète lors des grossesses suivantes est très élevé. Par conséquent, il est nécessaire de réaliser un test de dépistage dés le début de la grossesse.",grossesse_prenatale
59,A quoi servent les acides gras essentiels ?,"Ce sont des constituants deslipides: ils font partie desacides gras polyinsaturés, aussi appelés les «bonnes graisses». Comme leur nom l’indique, ils sont indispensables, et ne peuvent être fournis que par l’alimentation, l’organisme étant incapable d’en synthétiser.
Le ratio oméga-6/oméga-3 a un rôle très important. Des études ont montré que dans nos pays industrialisés, on consomme 10 à 20 fois plus d’oméga-6 que d’oméga-3. Or le rapport idéal devrait être proche de 5, ce qui veut dire que nous ne consommons pas assez d’oméga-3.
Les sources d’oméga-3sont :
Les sources d’oméga-6sont :
Notre mode d’alimentation, riche en matières grasses animales, nous apporte donc suffisamment - et même parfois trop - d’oméga-6.
Préférez les petits poissons gras - sardine, maquereau, hareng…- aux gros - saumon, thon…- car ils présentent moins de risques de contamination par le mercure, toxique pour le système nerveux du fœtus.",grossesse_prenatale
60,Dans mon assiette…,"Les sources d’oméga-3sont :
Les sources d’oméga-6sont :
Notre mode d’alimentation, riche en matières grasses animales, nous apporte donc suffisamment - et même parfois trop - d’oméga-6.
Préférez les petits poissons gras - sardine, maquereau, hareng…- aux gros - saumon, thon…- car ils présentent moins de risques de contamination par le mercure, toxique pour le système nerveux du fœtus.",grossesse_prenatale
61,Nos astuces pratiques,"Préférez les petits poissons gras - sardine, maquereau, hareng…- aux gros - saumon, thon…- car ils présentent moins de risques de contamination par le mercure, toxique pour le système nerveux du fœtus.",grossesse_prenatale
62,A quoi servent le calcium et la vitamine D ?,"Le calciumjoue un rôle majeur dans la construction des os, du squelette et des dents de votre bébé. Pendant neuf mois, il va accumuler 30 g de calcium au total : c’est l’équivalent de 3 kg d’emmental ou de 25 litres de lait ! Ses besoins augmentent particulièrement au cours du 3e trimestre, pour la minéralisation de ses os.
Avoir unapport suffisant en calciumest également important pour préserver votre capital osseux : votre bébé est en effet prioritaire et pourra « puiser » dans vos réserves si vous n’en consommez pas assez. Cela vous permettra également de donner un lait maternel plus riche à votre bébé à la naissance. Des études ont également montré que le calcium pourrait même réduire le risque de baby blues.
Lavitamine D,elle est importante pour la fixation de ce calcium, il a une influence sur l’équilibre de vos os, et la construction du squelette et des dents de votre bébé.
Vosbesoins en calciumsont estimés à environ 1 200 mg/jour. Soit, par exemple, chaque jour :
2 grands verres de lait demi écrémé
+ 2 yaourts ou 300 g de fromage blanc
+ 30 g d’emmental
D’autres aliments peuvent aussi être, dans des proportions plus modestes, sources de calcium :
Quant à lavitamine D,elle est apportée en petites quantités par votre alimentation, avec, parmi les aliments les plus riches, les poissons gras comme le saumon, les œufs. Elle est aussi et surtout fabriquée par votre peau sous l’action des rayons du soleil.

Voici quelques conseils pratiques pour y remédier :",grossesse_prenatale
